Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Montenegro,MNE,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,57.03265958,56.83483856,56.79549864,56.90806839,57.15020912,57.49998013,57.93601824,58.44786133,59.01726361,59.61569582,60.22064335,60.7891142,61.28184782,61.7131856,62.10721439,62.47838735,62.82875274,63.15071945,63.44653443,63.71765916,63.96348701,64.23560524,64.55781549,64.87891886,65.15289858,65.36877586,65.54517642,65.69839116,65.83318003,65.95539443,66.05480966,66.1114258,66.19799877,66.28819768,66.34087122,66.38536671,66.44657854,66.56384276,66.71698982,66.88024579,67.01114516,67.07612962,67.10102302,67.08152033,67.00008142,66.93417584,66.97618351,67.12073079,67.27910348,67.43871023,67.66572537,67.86960183,67.92151653,67.86490321,67.6784995,67.39283543,67.14321921,66.88995601,66.57177991,66.19093395,65.82762033,65.55927809,65.35463835
Montenegro,MNE,"Population, total",SP.POP.TOTL,480579,491140,502558,513409,521753,526327,526419,522796,517481,513340,512407,515449,521785,530220,538902,546487,552562,557576,562065,566888,572608,579445,587001,594506,600884,605398,607711,608144,607413,606571,606372,607105,608516,610170,611389,611712,611003,609520,607662,606001,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622159,622303,622373,622227,622028,621306,619211,616159
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,984292969.9,1159869246,1284685051,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4142983898,4544429063,4087525609,4465771673,4593852089,4054728173,4376929572,4856602179,5506944403,5542053845,4769995512,5861430526,6095978868
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,172.5993195,167.1652985,191.2201996,208.0873718,213.7559814,219.4827881,208.522934,214.9808655,224.7494659,244.2866516,257.7296448,276.5081482,313.9982605,376.7793274,452.0603638,516.6026611,537.8085327,604.3435059,705.1932983,825.6427002,1097.664917,874.7869263,847.3258057,758.4675293,675.0165405,666.7158203,846.9058838,928.4981079,1076.092773,1081.965332,1219.424561,1282.57959,1317.329956,1217.429077,1348.539063,1455.950317,1585.722778,1416.900391,1658.471802,1627.135132,1492.377075,1500.363403,1590.487305,1936.090088,2177.798828,2237.576172,2433.212646,2751.42334,3180.170654,3118.141602,3067.851807,3302.453125,3164.004639,3377.643555,3430.534668,3139.228271,3132.952148,3288.502686,3492.672363,3498.58252,3258.10498,3795.386963,3527.941895
Morocco,MAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.273409992,..,..,0.606819987,0.525860012,0.630710006,..,..,0.60789001,..,..,..,0.714540005,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.19675998,62.06741628,70.93786898,74.12313156,69.82591552,68.39491528,..,64.46241514,55.01247083,55.44498073,..,..,48.47507862,..,..,53.66629657,49.57461006,46.30353808,41.28513147,43.62574348,47.09826567,51.22632157,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.7,13.9,16.3,15.8,16.98,15.68,15.69,..,22.86,17.76,16.67,19.12,13.94,13.58,12.46,11.59,11.92,10.83,11.01,9.67,9.56,9.57,8.96,9.09,8.91,8.99,9.23,9.7,9.46,9.3,..,..,..,..,12.28,..
Morocco,MAR,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-963112162.8,-1782630217,-2235671071,-1798558202,-2044043539,-1974523574,-2228024145,-2230109551,-1257290603,-1351790655,-1199205664,-1076178019,-828186823.5,-102324844.8,-1251153075,-1543978703,-1572953696,-1909140155,-1608287745,-1822070987,-2198534135,-1232693100,-1117023287,-1455059864,-1335316226,-2093220552,-1111415357,-1114913760,-1728414693,-3227630251,-3951168995,-4440744116,-7420593637,-12774727823,-10926909416,-9953278187,-14062623476,-14674780975,-14810418461,-13690326430,-7927842024,-10739249607,-10551433765,-12131482383,-10049378709,-8812910272,-13124927044,-15227410128
Morocco,MAR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,51.71002214,51.14432862,50.64936175,50.22287813,49.9842766,49.8923862,49.83957675,49.82019532,49.85740069,49.95821397,50.11271674,50.31392523,50.53706797,50.77632505,51.05325234,51.35736699,51.67822899,52.02517127,52.37839717,52.71724338,53.04120471,53.34821141,53.64333668,53.92494972,54.20332465,54.50325838,54.82104702,55.16196673,55.54339078,55.95782915,56.39574164,56.82346575,57.23912342,57.68335581,58.17191127,58.72174746,59.3175593,59.92095592,60.51008525,61.07885203,61.63522241,62.18129514,62.70818739,63.20544097,63.70130254,64.2091513,64.6815326,65.09032876,65.4395292,65.71589842,65.91354376,66.0402376,66.12307134,66.17475647,66.17904581,66.14204461,66.09586788,66.02687007,65.92557859,65.82450629,65.75707775,65.72254518,65.69521832
Morocco,MAR,"Population, total",SP.POP.TOTL,11769774,12081713,12404757,12726686,13044254,13381880,13738502,14109755,14490077,14876982,15274351,15677300,16081438,16489452,16902383,17325325,17756516,18206472,18679859,19167661,19678444,20208260,20746765,21287381,21817271,22335077,22824446,23279935,23720590,24148104,24570814,24988083,25400676,25806777,26201551,26599048,26999093,27397118,27791825,28176997,28554415,28930097,29301817,29661270,30033125,30431902,30833022,31232633,31634992,32042877,32464865,32903699,33352169,33803527,34248603,34680458,35107264,35528115,35927511,36304408,36688772,37076584,37457971
